19 - 12 = ?,7,6,5
2 x 3 = ?,6,4,9
Combien y a t'il de multiple de 2 dans l’intervalle 0-11 ?,6,5,7
Combien un cube a-t-il d'arêtes ?,12,8,6
Par quelle couleur est généralement représenté le sang oxygéné sur les schémas de la circulation sanguine ?,Rouge,Blanc,Bleu
Que signifie les lettres D.E.L ?,Diode Electro Luminescente,Diode Electro Lumière,Diode Electro Lumineuse
6 x 8 = ?,48,36,56
A quoi nous servent les oreilles ?, A entendre, A sentir, A regarder
Quelle est la capacité en litres de 2 décalitres + 3 décilitres ?, 203 décilitres,23 décilitres,23 litres
57+12= ?,69,68,70
80-60= ?,20,15,30
